Site,Cohort,Locus,NAe,Ar,He,Ho,Fi,p,Fij1,bFlog,Sp,mean_avg_kinship_jknfd,mean_avg_kinship_jknfd_SE,n_ints,avg_pairwise_kinship,jackknifed_avg_Fij,jackknifed_avg_Fij_SE
RA,adult_exloc,Ep08,1.52,3.87,0.344,0.391,-0.141,0.3812,0.0054,-0.00608271,0.006115735,,,5,,,
LA,adult_exloc,Multilocus_avg,2.34,3.79,0.5236,0.46,0.123,0.0286,0.003,-0.0165147,0.016564393,-0.0016,,5,,,
LA,adult_exloc,Ep03,2.25,5,0.5553,0.432,0.224,0.1121,0.0371,-0.0470217,0.04883342,,,5,,,
LA,adult_exloc,Ep05,3.05,3,0.6719,0.579,0.14,0.2375,0.0122,-0.0283521,0.028702268,,,5,,,
LA,adult_exloc,Ep32,1.24,2,0.1909,0.211,-0.104,0.6596,0.0141,-0.0217556,0.022066741,,,5,,,
LA,adult_exloc,Ep06,3.1,3.97,0.6775,0.579,0.147,0.2049,-0.0186,-0.00743574,0.007299961,,,5,,,
LA,adult_exloc,Ep08,2.09,4.97,0.5221,0.5,0.043,0.6651,-0.0213,0.0197238,-0.019312445,,,5,,,
TRC,adult_exloc,Multilocus_avg,1.92,3,0.3505,0.345,0.015,0.8511,0.0181,-0.0112031,-0.0112031,-0.0004,,5,,,
TRC,adult_exloc,Ep03,1.1,2,0.0888,0.091,-0.024,0.9759,-0.0532,0.0439605,0.0439605,,,5,,,
TRC,adult_exloc,Ep05,2.56,4,0.6099,0.727,-0.198,0.2346,-0.0112,0.0132134,0.0132134,,,5,,,
TRC,adult_exloc,Ep32,1.26,2,0.2061,0.227,-0.105,0.7731,-0.0148,0.0268759,0.0268759,,,5,,,
TRC,adult_exloc,Ep06,3.53,5,0.7178,0.636,0.116,0.3893,0.0603,-0.0551789,-0.0551789,,,5,,,
TRC,adult_exloc,Ep08,1.15,2,0.13,0.045,0.656,0.0705,0.0235,0.0189773,0.0189773,,,5,,,
RA,seed-adult,Multilocus_avg,,,,,,,-0.0085,0.00147771,-0.001465255,,,10,,,
RA,seed-adult,Ep03,,,,,,,-0.0083,-0.000834635,0.000827765,,,10,,,
RA,seed-adult,Ep05,,,,,,,0.0069,0.013902,-0.01399859,,,10,,,
RA,seed-adult,Ep32,,,,,,,-0.0022,-0.00900825,0.008988475,,,10,,,
RA,seed-adult,Ep06,,,,,,,-0.0452,0.00458528,-0.004386988,,,10,,,
RA,seed-adult,Ep08,,,,,,,0.0388,-0.0138436,0.014402414,,,10,,,
LA,seed-adult,Multilocus_avg,,,,,,,0.0479,-0.012138,0.012748661,,,10,,,
LA,seed-adult,Ep03,,,,,,,-0.0009,0.0132047,-0.013192826,,,10,,,
LA,seed-adult,Ep05,,,,,,,0.1051,-0.0362733,0.040533356,,,10,,,
LA,seed-adult,Ep32,,,,,,,-0.0403,0.0111856,-0.010752283,,,10,,,
LA,seed-adult,Ep06,,,,,,,0.0527,-0.0212706,0.022453922,,,10,,,
LA,seed-adult,Ep08,,,,,,,0.0425,-0.0023765,0.002481984,,,10,,,
TRC,seed-adult,Multilocus_avg,,,,,,,0.0126,-0.00558879,0.005660107,,,10,,,
TRC,seed-adult,Ep03,,,,,,,-0.0144,0.00619962,-0.006111613,,,10,,,
TRC,seed-adult,Ep05,,,,,,,0.0288,-0.00866698,0.008923991,,,10,,,
TRC,seed-adult,Ep32,,,,,,,0.0089,-0.00524648,0.005293593,,,10,,,
TRC,seed-adult,Ep06,,,,,,,-0.0064,0.00892809,-0.008871314,,,10,,,
TRC,seed-adult,Ep08,,,,,,,0.0148,-0.0120708,0.012252132,,,10,,,
RA,seed-adult,Multilocus_avg,,,,,,,-0.01,0.00147771,-0.001463079,-0.0011,0.0009,10_25-215m,-0.001,,
RA,seed-adult,Ep03,,,,,,,0.0074,-0.000834637,0.000840859,,,10_25-215m,0.0012,,
RA,seed-adult,Ep05,,,,,,,-0.0146,0.013902,-0.013701952,,,10_25-215m,-0.0011,,
