"Max distance","Number of pairs","% partic","CV partic","Mean distance","Mean ln(distance)","Site"
"73.0000","77","100.0","0.37","47.8178","3.6960","RA"
"125.0000","99","100.0","0.34","98.3611","4.5745","RA"
"227.0000","77","95.7","0.54","160.6484","5.0672","RA"
"73.0000","231","100.0","0.45","46.4253","3.6891","LA"
"125.0000","225","100.0","0.30","99.3772","4.5878","LA"
"227.0000","247","100.0","0.51","159.5410","5.0607","LA"
"73.0000","82","100.0","0.36","45.5592","3.7073","TRC"
"125.0000","75","100.0","0.44","100.0818","4.5961","TRC"
"227.0000","74","95.5","0.54","164.6964","5.0933","TRC"
