"obs_val","mean_perm_val","SD_perm_val","lower.95","upper.95","p_obs_lessthan_exp","p_obs_grtr_exp","p_obs_lessthanorgrtr_exp","mean_jkn_val","jkn_SE","Site","Max_distance"
0.0107346,-0.00223945,0.0155644,-0.0303545,0.0301653,0.802,0.198,0.396,0.0101,0.027,"RA","73.0000"
0.0102826,-0.00243839,0.0126732,-0.0278208,0.0218678,0.8436,0.1564,0.3128,0.011,0.0182,"RA","125.0000"
-0.0315754,-0.00224584,0.0145796,-0.0335067,0.0241874,0.032,0.9681,0.0639,-0.0323,0.0197,"RA","227.0000"
0.00453109,-0.00162187,0.00902621,-0.0178976,0.0172342,0.7642,0.2358,0.4716,0.0041,0.0103,"LA","73.0000"
0.0027087,-0.00166325,0.00988197,-0.0216891,0.0170502,0.6676,0.3324,0.6648,0.0026,0.0064,"LA","125.0000"
-0.0112393,-0.00150237,0.00812957,-0.0185393,0.0131674,0.1194,0.8807,0.2387,-0.0109,0.0063,"LA","227.0000"
0.0226895,-0.000324056,0.0152472,-0.0266789,0.0332571,0.9255,0.0746,0.1492,0.0281,0.0275,"TRC","73.0000"
-0.0363875,-0.000335219,0.0160524,-0.033111,0.0296599,0.0166,0.9838,0.0328,-0.0397,0.0133,"TRC","125.0000"
0.0106639,-0.000374148,0.0152914,-0.0347784,0.0254326,0.7579,0.2426,0.4847,0.0086,0.0282,"TRC","227.0000"
